Nr.;Anrede;Titel;Vorname;Nachname;Geburtsdatum;Straﬂe;Hausnummer;Postleitzahl;Stadt;Telefon;Mobil;Telefax;EMail;Newsletter;Eintragsdatum
1;Herr;;Mads;Nowicki;;Hinterdorfstraﬂe;131;29227;Celle;05141/40574180;0175/1571974;;madsnowicki@anymail.none;;18.08.1976
2;Herr;;Hippolytus;List;;Brockhauser Weg;53;53533;Antweiler;02693/13476677;0161/4076303;;hippolytus-2018@open-mail.none;;17.12.2015
3;Frau;;Rhiane;Grund;09.05.1934;Moerser Straﬂe;27;27616;Lunestedt;04747/41787807;0167/4981164;;;;21.01.1995
4;Herr;;Klauspeter;Palm;;Am Hammergraben;18b;30165;Hannover;;0168/1268659;;klauspeterpalm@retromail.none;ja;14.02.2002
5;Frau;;Gundula;Schwab;;Ursulastraﬂe;169;75305;Neuenb¸rg;07082/68869714;;;g_schwab@funmail.none;;28.10.2013
6;Herr;;Gerwin;Leonard;;Sydowstraﬂe;180;54649;Oberpierscheid;;0154/7403077;;g_leonard@quickmail.none;;30.06.1993
7;Herr;;Theobert;Giehl;;Neuer Weg;8;36364;Bad Salzschlirf;06648/5027939;0167/6385905;06648/43863459;theobert1932@hoster.none;ja;02.01.2006
8;Herr;;Cuno;Wolfert;30.01.1921;Wehrstraﬂe;46 a;79872;Bernau;07675/15222436;0166/6929561;;;;06.08.1971
9;Frau;;Diethild;Winkelmann;;Bermbacher Weg;134;76891;Bundenthal;06394/55867919;;;diethild_1959@funmail.none;nein;24.02.1987
10;k.A.;;Heiner;Hans;;Richrather Straﬂe;158c;23818;Neueng‰rs;04550/67031492;;;heiner-hans@justmail.none;;13.05.1997
11;Frau;;Ute;Papadopoulos;18.06.1968;Lennigstraﬂe;190 c;49688;Lastrup;;0157/6619821;;ute.papadopoulos@kitty.none;;03.10.1989
12;Herr;;Volker;Friedrichs;;Schulz-Gahmen-Straﬂe;43;92637;Theisseil;09602/70162876;0155/7512060;;volker-friedrichs@funmail.none;ja;03.06.1971
13;k.A.;;Birge;Klopp;;B¸rgermeister-Laneus-Straﬂe;145;59846;Sundern;02933/44086495;0174/8527944;;birge-klopp@mymail.none;ja;11.06.2020
14;Herr;;Hartlieb;Fay;21.03.1984;Kiebitzpohl;186;52445;Titz;;0154/6186601;;hartliebfay@open-mail.none;;08.05.1979
15;Frau;Dr.;Swenja;Deckert;10.12.1915;Stadtlohner Straﬂe;54;79410;Badenweiler;07632/28538361;0179/2802986;07632/82733528;s-deckert@bestmail.none;;21.08.1980
16;Herr;;Karli;M√§rkl;;Kleine Hohl;88;41836;H¸ckelhoven;02433/9857480;;;;;18.06.1998
17;Herr;;Berni;Doering;;Eiserfelder Straﬂe;14;46286;Lembeck;;0176/8927905;;berni_doering@company.none;;03.10.2008
18;Frau;;Martha;Lutzenberger;;Allerstraﬂe;137;29693;Hademstorf;05164/91941010;0163/5657462;;marthalutzenberger@domain.none;ja;11.07.1980
19;Frau;;Waltrude;Scheer;02.05.1971;Bachaue;87;13349;Wedding;030/80998023;0153/7629554;;;;10.10.1989
20;Herr;;Gelbert;Krist;;Haydnstraﬂe;119;56653;Wehr;02636/80005094;0158/6504270;;gelbert.krist@domain.none;;18.06.1995
21;Herr;;Wilbert;Ronge;;Kalenborner Straﬂe;3;56651;Niederzissen;02636/78089916;0168/8920740;;wilbert_ronge@web.none;ja;04.03.1974
22;Herr;;Hanswerner;Gierl;;Heiligenweg;132;31582;Holtorf;05021/77240656;;;hanswernergierl@goggle-mail.none;;14.02.2010
23;Frau;;Gieselind;Droste;;Fischbachstraﬂe;4;86568;Hollenbach;08257/38130994;0177/4624311;;;;24.04.1990
24;Herr;;Detlef;Klute;;Libellenweg;97;73453;Abtsgm¸nd;07366/43438118;0152/8326611;;;ja;02.12.2000
25;Frau;;Helmtraud;Lerche;08.02.1908;Im Heckelchen;143;55496;Argenthal;06764/68510799;0167/4534915;;helmtraud_lerche@bestmail.none;;13.10.1970
26;Frau;;Marion;Engl;;Mittelfeldstraﬂe;67;57612;Idelberg;02681/97260013;0154/7981045;;;;30.06.1985
27;Frau;Dr.;Eli;Ringwald;;Feldmannskamp;7;48529;Nordhorn;;0173/4579547;;;;24.08.2005
28;Herr;;Guntram;Jensch;04.12.1964;L‰wenburgweg;55;39606;Osterburg;03937/41736887;;;guntramjensch@spam-mail.none;ja;03.04.2006
29;Herr;Dr.;Vincent;Bick;;Auf dem Steinb¸chel;164;26529;Osteel;04934/39566769;;;vincent_bick@inter-mail.none;;24.06.1982
30;k.A.;;Wastl;Hupfeld;;Heinrich-Sch¸tz-Straﬂe;100;56759;Laubach;02653/85403472;;;w_hupfeld@funmail.none;ja;07.11.1987
31;Frau;;Leonharda;Bauermeister;;Werkstattstraﬂe;134;27628;Driftsethe;;0151/5919327;;leonharda-bauermeister@xyz.none;;26.06.1995
32;Herr;;Oscar;Mumme;;Westicker Straﬂe;175;56820;Senheim-Senhals;02671/13487366;0170/5005868;;omumme@validmail.none;ja;06.08.2010
33;Herr;;Volkhart;Kiehn;;Weiﬂenburgstraﬂe;132;59394;Nordkirchen;02596/48932674;;;;ja;19.06.2004
34;Herr;;Conrad;Gockel;30.06.2018;Honnefer Straﬂe;150;51515;K¸rten;02268/75374627;;;conrad-2018@quickmail.none;;29.04.1989
35;k.A.;;Heinzfried;Dahlhoff;11.06.1965;Lange Hecke;164;25882;Tetenb¸ll;04862/82648931;0168/2744695;;h65@bestmail.none;ja;10.09.2006
36;Herr;;Dario;Seefried;01.04.1927;Auf dem Leim;150c;66701;Beckingen;06835/91162046;0155/8787259;;d1927@hoster.none;;04.08.1977
37;Frau;;Elgard;Br√§mer;;Luxemburger Straﬂe;68;25348;Blomesche Wildnis;04124/31548740;0170/2648286;;elgard-braemer@xyz.none;nein;23.07.2017
38;Frau;;Ottilia;Riebe;;Dahlweg;163;63928;Eichenb¸hl;09371/93373036;0178/6485169;;ottilia-riebe@bestmail.none;;16.10.1986
39;Frau;;Sylke;Trappe;;Altendorfer Straﬂe;98;54413;Bescheid;06509/78477988;0166/2101588;;sylketrappe@private.none;;12.10.1990
40;Frau;;Gerdhild;Coordes;;Holzbachstraﬂe;171;79279;V‰rstetten;07666/67262530;0178/2218893;07666/52247513;gerdhildcoordes@anymail.none;ja;09.02.1973
41;Frau;;Kira;Dormann;;Lederstraﬂe;152;24994;Jardelund;04639/20240156;0176/7587169;;;;13.01.2016
42;Frau;;Vreneli;Schreier;10.11.1980;Bergsteg;55;73240;Wendlingen am Neckar;07024/36763359;0174/5302767;07024/9224818;;;26.02.2010
43;Frau;;Krimhild;Brockhaus;03.09.1925;Wildenburg-Bahnhof;138;22965;Todendorf;04532/8435081;;;krimhild.brockhaus@company.none;;28.12.1994
44;Herr;;Hartmuth;Danz;;Peter-Kl‰ckner-Straﬂe;155;37181;Hardegsen;05505/95011137;;05505/45594633;hartmuth.16@open-mail.none;;26.04.2006
45;k.A.;;Ruben;Neef;;Bochumer Straﬂe;194;63755;Alzenau;06023/65319410;;;;ja;21.03.1972
46;Frau;;Bertlinde;Klump;01.01.2019;Puderbacher Straﬂe;73;9306;Rochlitz;03737/17785238;0175/6354858;;bertlinde19@goggle-mail.none;ja;27.10.1985
47;Herr;Dr.;Albert;Kurth;02.09.1970;Albaumer Straﬂe;52;27318;Hoya;;0167/5580146;;albert_70@quickmail.none;;01.09.1988
48;Herr;;Barnabas;Huff;;Franziskusstraﬂe;23;34497;Korbach;05631/7582031;;;barnabas1958@kitty.none;;16.01.2019
49;Frau;;Adolfa;Butter;;Unter der Hub;187;25782;Gaushorn;;;;a_butter@quickmail.none;;14.12.2013
50;Frau;;Frida;Ball;;Luegallee;103;86391;Stadtbergen;;;;frida-ball@private.none;nein;13.03.1977
51;Herr;;Sieghelm;Ehle;;Bendenstraﬂe;184 c;45479;M¸lheim an der Ruhr;0208/15592637;0168/5463130;;sieghelm-ehle@ultramail.none;;08.01.1983
52;Frau;;Verena;Hechler;;Im Kontur;145;66497;Contwig;06332/43577592;0172/5830536;;;;02.08.1973
53;Frau;;Katrin;Justen;19.10.1977;Rehnstraﬂe;140;83101;Rohrdorf;08032/2387327;0153/3493014;08032/77607367;;;20.08.1974
54;Frau;;Iris;Person;;Am Varenholt;8;77889;Seebach;;0164/5703711;;iris.person@quickmail.none;;08.05.1974
55;Frau;;Roswitha;Wambach;;Windthorststraﬂe;165;64405;Fischbachtal;06166/28282266;0155/4950633;;roswitha-wambach@bestmail.none;;28.11.2006
56;Frau;;Lioba;Mack;;Westerbroek;110;31606;Warmsen;;0169/7527584;;lioba1911@spam-mail.none;;20.01.2003
57;Frau;;Christa;Steinbrenner;29.06.1979;Zur alten Burg;163;83527;Kirchdorf;08073/46141577;;;;;22.05.1988
58;Frau;;Winfriede;K¸mmerle;;Einsteinstraﬂe;18;54459;Wiltingen;06501/85661525;0166/3362988;;winfriede-kuemmerle@validmail.none;;20.07.2006
59;Herr;Dr.;Treuhard;Paschke;;Laerstraﬂe;115;88444;Ummendorf;07351/43753092;0151/2521303;;;ja;27.06.1997
60;Frau;;Isedore;Liebau;;Marktplatz;189;25348;Blomesche Wildnis;;;;isedoreliebau@goggle-mail.none;ja;20.01.1976
61;Herr;Prof.;Klemens;K‰ther;30.04.1991;Synagogenstraﬂe;29;29364;Langlingen;05082/8817154;;05082/24235503;klemens-koether@mymail.none;nein;26.04.1997
62;Frau;;Hetty;Menges;14.12.1956;Im Biewing;73;55543;Bad Kreuznach;0671/83406586;0165/7359551;;;;25.03.1986
63;Frau;;Brita;Simm;15.10.1985;Goldregenweg;59;91587;Adelshofen;09865/37414847;;;bsimm@net-mail.none;;02.12.1978
64;k.A.;Dr.;Burckhardt;Steinmetz;;Im Reuschew√§ldchen;19;64342;Seeheim-Jugenheim;;0152/1378795;06257/93659999;b_steinmetz@open-mail.none;;06.06.2018
65;Herr;;Gerd;Zauner;;Flaﬂkuhl;20;56377;Nassau;02604/9700071;0177/3549694;;gerd.zauner@bestmail.none;ja;02.12.2006
66;Herr;;Otheinrich;Hartl;;Rotdornstraﬂe;61 c;56269;Dierdorf;02689/14866905;0171/6133614;;otheinrich-hartl@kitty.none;nein;08.02.1986
67;Herr;;Alban;Gonschorek;;Norderstraﬂe;146;97519;Riedbach;09526/88224332;0169/7018667;;alban_1977@inter-mail.none;;07.04.2010
68;Frau;;Birglinde;Koob;;Elmstraﬂe;103;38486;Neuendorf;;0176/4215041;;birglinde.koob@funmail.none;;17.12.1990
69;Herr;;Emil;Striegl;;Heinrich-Schlusnus-Straﬂe;169;77743;Neuried;;0152/8980530;;;;06.09.2015
70;Frau;;Marlies;Eifler;;Neustadtstraﬂe;48;8236;Ellefeld;03745/2447434;0177/3875273;;meifler@email.none;;30.09.2017
